                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                 0.9306,                0.84488,                 1.1652,                0.83785,                0.93599,                0.93166,                0.68934,                0.95471,                 0.6897,                 1.3187,             0.00094085,             0.00094085,             0.00094085
                     69,                0.98306,                0.81948,                 1.2022,                0.91003,                0.93315,                0.96984,                0.69922,                0.97622,                 0.6657,                  1.344,             0.00092985,             0.00092985,             0.00092985
                     70,                 0.9477,                0.77991,                 1.1641,                0.95859,                0.85482,                0.92435,                0.65753,                0.98954,                0.69857,                 1.3807,             0.00091885,             0.00091885,             0.00091885
                     71,                0.91221,                0.73137,                 1.1425,                0.91949,                0.89132,                0.92796,                0.68232,                0.95968,                0.67647,                 1.3714,             0.00090785,             0.00090785,             0.00090785
                     72,                 0.9217,                 0.7718,                  1.164,                0.85625,                0.88146,                0.90857,                0.63931,                 1.0622,                0.78922,                 1.4307,             0.00089685,             0.00089685,             0.00089685
                     73,                0.91291,                0.73447,                 1.1286,                0.75349,                0.87308,                0.86738,                0.64029,                 1.0084,                 0.7745,                 1.3725,             0.00088584,             0.00088584,             0.00088584
                     74,                0.95119,                0.77006,                 1.1596,                 0.8055,                0.88409,                0.90498,                0.65816,                0.97513,                0.72918,                 1.3128,             0.00087484,             0.00087484,             0.00087484
                     75,                0.88418,                0.72176,                 1.1329,                0.79374,                0.93396,                0.89763,                0.64489,                0.97158,                0.76426,                 1.3046,             0.00086384,             0.00086384,             0.00086384
                     76,                0.92462,                0.73327,                 1.1427,                 0.8899,                0.82136,                0.92041,                0.65176,                 1.0171,                0.75235,                 1.3352,             0.00085284,             0.00085284,             0.00085284
                     77,                0.92444,                0.72511,                 1.1874,                0.89532,                0.85497,                0.91365,                0.63952,                 1.0341,                0.82039,                 1.3883,             0.00084184,             0.00084184,             0.00084184
                     78,                0.90018,                0.72789,                 1.1271,                0.83639,                0.86831,                0.90643,                0.62868,                 1.0768,                0.77413,                 1.4268,             0.00083083,             0.00083083,             0.00083083
                     79,                0.87723,                 0.6902,                  1.116,                0.91727,                0.84534,                0.92571,                0.65389,                 1.0221,                0.74205,                 1.3566,             0.00081983,             0.00081983,             0.00081983
                     80,                0.90398,                0.75951,                 1.1518,                0.79781,                 0.9541,                 0.9384,                0.68113,                0.94361,                 0.7469,                 1.2645,             0.00080883,             0.00080883,             0.00080883
                     81,                0.84657,                0.66236,                 1.1115,                 0.9031,                0.94872,                0.94943,                 0.7026,                 0.9681,                0.66895,                 1.2996,             0.00079783,             0.00079783,             0.00079783
                     82,                0.90203,                0.68357,                 1.1294,                0.89478,                0.82933,                0.93853,                0.68047,                 1.0022,                0.70339,                 1.3417,             0.00078682,             0.00078682,             0.00078682
                     83,                  0.836,                0.65745,                  1.094,                0.97562,                0.79013,                0.94352,                0.67459,                0.98229,                0.64622,                 1.3256,             0.00077582,             0.00077582,             0.00077582
                     84,                0.82739,                0.66657,                 1.1144,                0.89164,                0.87524,                0.94908,                0.65945,                 1.0089,                0.65497,                 1.3462,             0.00076482,             0.00076482,             0.00076482
                     85,                0.83587,                0.65155,                 1.1032,                0.88892,                0.92959,                0.96489,                0.69862,                0.97675,                0.62325,                 1.2829,             0.00075382,             0.00075382,             0.00075382
                     86,                0.86919,                0.65051,                 1.1101,                0.87931,                 0.9364,                0.95772,                 0.7489,                0.93355,                0.59909,                 1.2859,             0.00074282,             0.00074282,             0.00074282
                     87,                0.89847,                0.68665,                 1.1309,                0.93989,                0.87061,                0.96638,                0.73941,                0.92285,                0.58571,                 1.2718,             0.00073181,             0.00073181,             0.00073181
                     88,                  0.901,                0.70383,                 1.1203,                0.85494,                0.95927,                0.93262,                0.68824,                 0.9547,                0.69725,                 1.2927,             0.00072081,             0.00072081,             0.00072081
                     89,                0.87184,                0.69186,                 1.1054,                0.90122,                0.86915,                 0.9165,                0.69246,                0.92144,                0.73885,                 1.2711,             0.00070981,             0.00070981,             0.00070981
                     90,                  0.807,                0.63261,                 1.0837,                0.93801,                0.86252,                0.93301,                  0.702,                0.94057,                0.70452,                 1.2713,             0.00069881,             0.00069881,             0.00069881
                     91,                0.84794,                0.66986,                 1.1089,                0.95854,                0.85836,                0.93692,                 0.6916,                0.93548,                0.71394,                 1.2866,              0.0006878,              0.0006878,              0.0006878
                     92,                0.84898,                0.70336,                 1.1126,                0.95664,                0.82217,                0.93502,                0.66013,                0.98191,                0.72324,                 1.3471,              0.0006768,              0.0006768,              0.0006768
                     93,                0.85348,                0.63821,                 1.1124,                0.92309,                0.87652,                0.94589,                0.72239,                0.92161,                0.61934,                 1.2947,              0.0006658,              0.0006658,              0.0006658
                     94,                0.83155,                0.63789,                 1.1015,                0.92617,                0.93067,                0.95603,                0.71353,                0.94615,                0.58831,                  1.287,              0.0006548,              0.0006548,              0.0006548
                     95,                0.80698,                0.60091,                 1.0802,                0.95106,                0.94311,                0.95639,                0.70225,                0.97741,                0.60385,                   1.33,              0.0006438,              0.0006438,              0.0006438
                     96,                 0.8946,                0.66046,                 1.1584,                0.89626,                0.93404,                0.95223,                0.70779,                0.96161,                0.65241,                 1.3148,             0.00063279,             0.00063279,             0.00063279
                     97,                0.87133,                0.64039,                 1.1337,                0.96926,                0.88622,                0.95414,                0.69608,                0.97203,                0.63775,                 1.3013,             0.00062179,             0.00062179,             0.00062179
                     98,                0.77693,                0.62099,                  1.073,                 0.9131,                0.89904,                0.94257,                0.69511,                0.94157,                0.62644,                 1.2683,             0.00061079,             0.00061079,             0.00061079
                     99,                 0.8253,                0.59227,                 1.0847,                0.94121,                0.89807,                0.94605,                0.69529,                0.95786,                0.64539,                 1.2832,             0.00059979,             0.00059979,             0.00059979
                    100,                0.85952,                 0.6119,                 1.1105,                0.84581,                0.87931,                0.93591,                0.70156,                0.91247,                0.65807,                  1.273,             0.00058878,             0.00058878,             0.00058878
                    101,                0.82694,                0.57969,                 1.0756,                0.87548,                0.89183,                0.95183,                0.68976,                0.91587,                0.66218,                 1.2624,             0.00057778,             0.00057778,             0.00057778
