                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     63,                0.80665,                0.67325,                 1.0829,                0.96571,                0.80952,                0.90443,                0.67932,                0.87678,                0.71349,                 1.1931,             0.00099587,             0.00099587,             0.00099587
                     64,                0.76757,                0.67512,                 1.0773,                0.96856,                0.81535,                0.90594,                 0.6648,                0.92067,                0.69533,                 1.2005,             0.00098486,             0.00098486,             0.00098486
                     65,                0.77899,                0.64356,                 1.1053,                0.88374,                0.86573,                0.90931,                0.66279,                0.93892,                0.68925,                  1.206,             0.00097386,             0.00097386,             0.00097386
                     66,                0.79627,                0.66968,                  1.111,                0.90889,                0.83427,                0.90798,                0.66962,                0.86117,                0.71466,                 1.1344,             0.00096286,             0.00096286,             0.00096286
                     67,                0.80797,                0.68177,                 1.1075,                0.86532,                0.84268,                0.88296,                0.66639,                0.86897,                0.72417,                 1.1817,             0.00095186,             0.00095186,             0.00095186
                     68,                 0.7314,                0.64664,                 1.0849,                0.90395,                0.84386,                0.89797,                0.67124,                0.90607,                0.72977,                 1.2193,             0.00094085,             0.00094085,             0.00094085
                     69,                0.75803,                0.63897,                 1.0855,                0.91456,                0.79601,                0.88471,                0.65912,                0.88284,                0.69722,                 1.1965,             0.00092985,             0.00092985,             0.00092985
                     70,                0.77161,                0.64898,                 1.0884,                 0.8944,                0.85606,                0.86657,                0.64658,                0.87264,                0.69663,                 1.1761,             0.00091885,             0.00091885,             0.00091885
                     71,                0.74778,                0.63049,                 1.0739,                0.89566,                 0.8381,                0.90523,                 0.6736,                 0.8408,                0.63947,                   1.16,             0.00090785,             0.00090785,             0.00090785
                     72,                0.76323,                0.64588,                 1.0723,                0.90034,                0.81667,                0.89833,                0.66531,                0.88904,                0.66285,                 1.1884,             0.00089685,             0.00089685,             0.00089685
